# PCChua Data Acquisition and Control Software
# Date: Fri Aug 29 07:16:54 1997
# 
# Experiment: Chua's Circuit Perturbation.
#
# Ts = 10.00 ms
#
# Columns (10): 
# (time)  (x  y  z)  (xref  yref  zref)  (ux  uy  uz)

1.640233 2.969e+00 6.592e-01 -1.518e-04 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
1.650233 3.149e+00 7.227e-01 -2.481e-04 -7.326e-06 -7.326e-06 -7.326e-03 -8.547e-06 -8.547e-06 1.961e-02
1.660233 3.345e+00 7.617e-01 -3.853e-04 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
1.670234 3.472e+00 7.812e-01 -5.837e-04 -4.778e-04 -4.778e-04 -4.778e-01 -4.799e-04 -4.799e-04 -4.510e-01
1.680233 3.618e+00 7.959e-01 -7.939e-04 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
1.690234 3.760e+00 8.008e-01 -9.894e-04 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
1.700234 3.882e+00 8.008e-01 -1.135e-03 7.351e-06 7.351e-06 7.351e-03 6.105e-06 6.105e-06 1.961e-02
1.710234 4.019e+00 8.301e-01 -1.258e-03 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
1.720234 4.150e+00 8.447e-01 -1.310e-03 4.778e-04 4.778e-04 4.778e-01 4.774e-04 4.774e-04 4.902e-01
1.730235 4.292e+00 8.691e-01 -1.357e-03 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
1.740234 4.419e+00 8.984e-01 -1.442e-03 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
1.750233 4.531e+00 9.082e-01 -1.559e-03 -7.319e-06 -7.319e-06 -7.319e-03 -8.547e-06 -8.547e-06 1.961e-02
1.760233 4.634e+00 8.984e-01 -1.725e-03 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
1.770235 4.692e+00 8.594e-01 -1.932e-03 -4.778e-04 -4.778e-04 -4.778e-01 -4.799e-04 -4.799e-04 -4.510e-01
1.780235 4.761e+00 8.154e-01 -2.139e-03 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
1.790234 4.800e+00 7.666e-01 -2.335e-03 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
1.800233 4.824e+00 7.178e-01 -2.472e-03 7.333e-06 7.333e-06 7.333e-03 6.105e-06 6.105e-06 1.961e-02
1.810235 4.854e+00 6.738e-01 -2.542e-03 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
1.820234 4.873e+00 6.396e-01 -2.583e-03 4.777e-04 4.777e-04 4.777e-01 4.774e-04 4.774e-04 4.902e-01
